,DiemHP_INT1339,DiemHP_INT1332,DiemHP_INT1313,DatHP
242,5.4,3.7,5.4,1.0
243,5.5,4.0,5.4,1.0
244,5.2,8.3,3.7,1.0
245,8.8,7.6,6.6,1.0
246,6.7,6.3,5.5,0.0
247,6.1,6.3,7.6,1.0
248,7.9,8.6,6.8,1.0
249,6.1,6.1,8.0,1.0
250,5.5,5.5,6.0,1.0
251,0.4,2.5,5.5,0.0
252,5.5,4.1,5.4,1.0
253,8.1,3.0,4.3,1.0
254,4.1,1.6,5.4,1.0
255,8.5,7.2,4.0,1.0
256,4.6,5.6,4.8,1.0
257,8.2,8.8,5.2,1.0
258,4.8,6.3,2.3,1.0
259,4.2,4.5,6.0,1.0
260,8.8,5.7,4.0,1.0
261,6.9,5.7,4.8,1.0
262,4.2,2.5,4.0,1.0
263,6.1,4.2,6.0,1.0
264,2.0,3.0,2.5,1.0
265,6.1,5.0,4.8,1.0
266,5.4,5.3,2.5,0.0
267,6.4,6.5,5.5,1.0
268,1.7,5.6,2.8,1.0
269,9.4,5.6,5.9,1.0
270,5.2,4.6,5.2,1.0
271,5.5,4.8,5.9,1.0
272,4.9,5.3,4.2,1.0
273,4.3,3.4,5.7,1.0
274,5.4,6.3,0.0,0.0
275,4.7,9.0,5.9,1.0
276,6.6,4.6,6.2,1.0
277,3.1,1.4,5.7,0.0
278,7.8,4.3,5.9,1.0
279,5.5,3.3,4.4,0.0
280,3.1,5.6,4.5,1.0
281,8.4,4.0,5.0,1.0
282,7.0,5.4,6.6,1.0
283,5.6,1.8,5.7,1.0
284,7.3,4.0,3.4,1.0
285,4.9,4.6,6.6,1.0
286,6.5,5.4,3.9,1.0
287,6.1,4.5,5.4,1.0
288,6.7,6.8,5.2,1.0
289,5.5,6.5,6.6,1.0
290,6.3,3.4,4.0,1.0
291,6.1,3.3,5.0,1.0
292,1.6,7.0,5.9,1.0
293,5.8,6.1,0.0,1.0
294,9.4,7.1,6.4,1.0
295,7.5,1.4,3.8,1.0
296,6.4,5.5,6.8,1.0
297,8.0,6.3,3.8,1.0
298,6.7,6.2,8.0,1.0
299,6.4,3.3,4.8,0.0
300,6.7,10.0,3.7,1.0
301,6.1,4.8,5.0,1.0
302,8.2,8.8,4.0,1.0
303,6.7,8.5,5.9,1.0
304,4.9,6.4,6.1,1.0
305,4.3,7.5,4.0,1.0
306,2.2,4.2,3.7,1.0
307,9.1,5.1,4.1,1.0
308,3.6,1.7,3.3,1.0
309,8.4,6.8,7.8,1.0
310,5.0,6.4,4.6,0.0
311,5.8,3.8,5.9,0.0
312,4.5,2.5,1.3,1.0
313,7.2,8.6,8.2,1.0
314,5.5,3.7,4.5,0.0
315,4.2,7.4,2.5,0.0
316,4.0,8.1,8.0,1.0
317,4.6,5.3,4.8,1.0
318,10.0,5.2,4.9,1.0
319,3.9,8.1,6.1,1.0
320,4.2,6.0,2.3,1.0
321,7.1,6.3,5.7,1.0
322,6.7,7.3,7.8,1.0
323,7.0,4.6,8.5,1.0
